,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
251,Customer Service,Skills Fit (Gistasx Solutions),Delhi,Immediately,6 Months,"8,000 /month",30 Aug' 22
252,Customer Care,Morepen Laboratories Limited,Gurgaon,Immediately,6 Months,"10,000 /month",30 Aug' 22
253,HR Manager,Support And Care Humanity Foundation,Work From Home,Immediately,1 Month,"5,000-7,000 /month",30 Aug' 22
254,Accounts,Cendrol,Bangalore,Immediately,3 Months,"6,000 /month",30 Aug' 22
255,Product Management- Music Learning App,Kaholas,Work From Home,Immediately,3 Months,"2,000-3,000 /month",30 Aug' 22
256,Backend Development (Django),Fotoley (Buena Logica Technologies Private Limited),Bangalore,Immediately,3 Months,"20,000 /month",30 Aug' 22
257,Trainee - Instructional Design,Newgen Enterprise,Work From Home,Immediately,3 Months,"15,000 /month",30 Aug' 22
258,Data Entry & Computer Operations,EARLY2NINE,Gurgaon,Immediately,5 Months,"7,000-9,000 /month",30 Aug' 22
259,Translation (English To Malayalam),Katheka,Work From Home,Immediately,1 Month,"7,500 /month",30 Aug' 22
260,Production Garment Merchandising,Uniform Republique,Gurgaon,Immediately,3 Months,"10,000-12,000 /month",30 Aug' 22
261,Pre-sales Consultancy,Splashgain Technology Solutions Private Limited,Pune,Immediately,3 Months,"10,000 /month",30 Aug' 22
262,Business Development (Sales),Guest Blogging Technology,Bhopal,Immediately,6 Months,"10,000-12,000 /month",30 Aug' 22
263,Business Development (Sales),Treebo Hotels,Delhi,Immediately,3 Months,"8,000 /month",30 Aug' 22
264,Social Media Marketing,Chinmay Datar,Work From Home,Immediately,2 Months,"4,000 /month",30 Aug' 22
265,Social Media And Influencer Marketing,Rebel Foods Private Limited,Mumbai,Immediately,3 Months,"7,000 /month",30 Aug' 22
266,Social Media Marketing,ARDPURE,Work From Home,Immediately,2 Months,"1,500 /month",30 Aug' 22
267,Content Development (Science Assessments),Vizuara,Work From Home,Immediately,3 Months,"3,000-5,000 /month",30 Aug' 22
268,Operations,Elemantra.in,Mumbai,Immediately,2 Months,"20,000 /month",30 Aug' 22
269,Business Development (Sales),Comhard Technologies Private Limited,Noida,Immediately,3 Months,"8,000 /month",30 Aug' 22
270,Business Development (Sales),NPN Disposables,Navi Mumbai,Immediately,3 Months,"9,500-12,000 /month",30 Aug' 22
271,Video Editing,Ipix Movies,Mumbai,Immediately,3 Months,"10,000 /month",30 Aug' 22
272,Growth Management,Product Academy,Work From Home,Immediately,3 Months,"5,000-7,000 /month",30 Aug' 22
273,Videography,Avaesa,Chennai,Immediately,6 Months,"15,000-25,000 /month",30 Aug' 22
274,Content Writing (Python Tutorials),JournalDev IT Services Private Limited,Work From Home,Immediately,2 Months,"5,000 /month +  Incentives",30 Aug' 22
275,YouTube Acting,Cryptic Media (OPC) Private Limited,Ludhiana,Immediately,4 Months,"5,000-7,000 /month",30 Aug' 22
276,Content Writing (MySQL Tutorials),JournalDev IT Services Private Limited,Work From Home,Immediately,2 Months,"5,000 /month +  Incentives",30 Aug' 22
277,Full Stack Development,Techvolt Software Private Limited,Coimbatore,Immediately,3 Months,"5,000 /month",30 Aug' 22
278,Marketing,Kruti Coffee,Work From Home,Immediately,3 Months,"3,000 /month",30 Aug' 22
279,Photoshop Expert,FLUCO,Work From Home,Immediately,4 Months,"5,000-6,000 /month",30 Aug' 22
280,Business Development (Sales),Guest Blogging Technology,Bhopal,Immediately,6 Months,"10,000-15,000 /month",30 Aug' 22
281,Teaching (Python),Triluxo Technologies Private Limited,Work From Home,Immediately,3 Months,"1,000 /month",30 Aug' 22
282,ReactJS Development,IG Drones,Work From Home,Immediately,6 Months,"6,000 /month",30 Aug' 22
283,Social Media Marketing,Nightingales Medical Trust,Bangalore,Immediately,6 Months,Unpaid,30 Aug' 22
284,Back Office Management (Medical),H.E. Global Private Limited,Ahmedabad,Immediately,6 Months,"16,000 /month",30 Aug' 22
285,Mechanical Engineering,Sankalp Steeltech Corporation Private Limited,Pune,Immediately,3 Months,"2,000 /month",30 Aug' 22
286,Digital Marketing,Udyog Buddy,Jabalpur,Immediately,6 Months,"3,000 /month",30 Aug' 22
287,Sales,TopHire,Work From Home,Immediately,6 Months,"15,000 /month",30 Aug' 22
288,Mobile App Development,IndigoLearn.com,Hyderabad,Immediately,3 Months,"25,000 /month",30 Aug' 22
289,Marketing & Partnership Alliance,TopHire,Work From Home,Immediately,6 Months,"15,000 /month",30 Aug' 22
290,Social Media Marketing,BrickedIN Buildtech Private Limited,Delhi,Immediately,3 Months,"5,000-10,000 /month",30 Aug' 22
291,Project Management,Bingeism SDGs,Pune,Immediately,3 Months,"9,000 lump sum +  Incentives",30 Aug' 22
292,Human Resources (HR),Shahani Group,Mumbai,Immediately,3 Months,"5,000-10,000 /month",30 Aug' 22
293,UI/UX Design,Thoughtz,Work From Home,Immediately,2 Months,"15,000 /month",30 Aug' 22
294,Content Writing,Cyberbizz Technologies,Noida,Immediately,3 Months,"5,000-10,000 /month",30 Aug' 22
295,Market Research,Orbis Research,Pune,Immediately,6 Months,"5,000 /month",30 Aug' 22
296,Graphic Design,Brandent,Delhi,Immediately,3 Months,"8,000 /month",30 Aug' 22
297,Business Development (Sales),Balj Services Private Limited,Agra,Immediately,3 Months,"10,000 /month",30 Aug' 22
298,Partnership & Alliance,Wiggles India,Pune,Immediately,6 Months,"5,000 /month",30 Aug' 22
299,3D CAD CAM Design Engineering,Vishwasya Technologiess Private Limited,Pune,Immediately,3 Months,"3,000 /month",30 Aug' 22
300,Marketing,Techvolt Software Private Limited,Coimbatore,Immediately,3 Months,"5,000 /month",30 Aug' 22
301,Fundraising,Needy And You,Faridabad,Immediately,1 Month,Unpaid,30 Aug' 22
302,Law/Legal,Maa Pranaam Suvidha Limited,Pune,Immediately,6 Months,"6,000-10,000 /month",30 Aug' 22
303,Business Development (Sales),Maa Pranaam Suvidha Limited,Pune,Immediately,6 Months,"6,000 /month +  Incentives",30 Aug' 22
304,Library Management,EMPI,Delhi,Immediately,6 Months,"10,000-20,000 /month",30 Aug' 22
305,Product Management (Cataloging),ShoppRe,Bangalore,Immediately,6 Months,"6,000-8,000 /month",30 Aug' 22
306,Web Development,Maa Pranaam Suvidha Limited,Pune,Immediately,6 Months,"5,000-10,000 /month",30 Aug' 22
307,Telecalling,FinTechEdu Solutions,Work From Home,Immediately,3 Months,"1,000-2,000 /month",30 Aug' 22
308,Content Writing,Adwaita Educare Private Limited,Work From Home,Immediately,3 Months,"4,000 /month",30 Aug' 22
309,Business Development (Sales),Yapita Health Private Limited,Gurgaon,Immediately,6 Months,"10,000 /month",30 Aug' 22
310,Business Analytics,Product Academy,Work From Home,Immediately,3 Months,"5,000-7,000 /month",30 Aug' 22
311,Content Writing,Citrus Tech,Kolkata,Immediately,3 Months,"4,000-8,000 /month",30 Aug' 22
312,Content Writing,M/S Kansal Enterprises,Work From Home,Immediately,6 Months,"5,000 /month",30 Aug' 22
313,Data Analytics,Extension Technologies Private Limited,Faridabad,Immediately,4 Months,"8,000-10,000 /month",30 Aug' 22
314,Social Media Marketing,Elusive Dreams By Pooja Doshi,Mumbai,Immediately,6 Months,"5,000-7,000 /month",30 Aug' 22
315,Business Development (Sales),Indian Astrobiology Research Foundation,Work From Home,Immediately,1 Month,"2,500 /month +  Incentives",30 Aug' 22
316,Subject Matter Expert (SME),Physics Wallah,Noida,Immediately,3 Months,"18,000-20,000 /month",30 Aug' 22
317,Human Resources (HR),Quantiphi Analytics Solutions Private Limited,Mumbai,Immediately,6 Months,"15,000 /month",30 Aug' 22
318,Social Media Marketing,La Divinite,Delhi,Immediately,3 Months,"10,000 /month",30 Aug' 22
319,Python/Django Development,Thinkgroupy (Thinkgrpy Services Private Limited),Work From Home,Immediately,2 Months,"3,000-5,000 /month",30 Aug' 22
320,Content Writing,Careerwill,Delhi,Immediately,3 Months,"10,000 /month",30 Aug' 22
321,Operations,Physics Wallah,Noida,Immediately,6 Months,"15,000 /month",30 Aug' 22
322,Business Development (Sales),Qrata,Mumbai,Immediately,3 Months,"15,000-25,000 /month",30 Aug' 22
323,Marketing,Qrata,Mumbai,Immediately,3 Months,"12,000-18,000 /month",30 Aug' 22
324,Electronics Hardware Design,NHANZ Systems Private Limited,Bangalore,Immediately,6 Months,"12,000 /month",30 Aug' 22
325,Operations,Whole9Yards Online LLP,Kolkata,Immediately,6 Months,"8,000 /month",30 Aug' 22
326,Digital Marketing,Ananzi Infotech,Bangalore,Immediately,3 Months,"13,000 /month",30 Aug' 22
327,IT Business Analysis,Idea Usher,Work From Home,Immediately,3 Months,"10,000-15,000 /month",30 Aug' 22
328,Business Research & Analysis,Black And Veatch Private Limited,Mumbai,Immediately,3 Months,"50,000 /month",30 Aug' 22
329,Graphic Design,Anvil Media,Mumbai,Immediately,3 Months,"5,000 /month",30 Aug' 22
330,Marketing,FinTechEdu Solutions,Work From Home,Immediately,3 Months,"1,000-2,000 /month",30 Aug' 22
331,Human Resources (HR),Talent Max HR & Management Consultants,Indore,Immediately,2 Months,"4,000 lump sum +  Incentives",30 Aug' 22
332,Web Development,Bringmebis,Kottayam,Immediately,3 Months,"5,000-25,000 /month",30 Aug' 22
333,Cinematography,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"15,000 /month",30 Aug' 22
334,Graphic Design,Param Investopedia Private Limited,Mumbai,Immediately,6 Months,"15,000 /month",30 Aug' 22
335,Human Resources (HR),Dimensionless Technologies,Navi Mumbai,Immediately,6 Months,"10,000-15,000 /month",30 Aug' 22
336,Social Media Marketing,Infloso Private Limited,Work From Home,Immediately,2 Months,"1,000 /month",30 Aug' 22
337,Video Editing,ConTeTra Private Limited,Mumbai,Immediately,3 Months,"5,000 /month",30 Aug' 22
338,Video Making/Editing,Purani Dili Talkies LLP,Delhi,Immediately,6 Months,"7,500 /month",30 Aug' 22
339,Business Development (Sales),Verzeo,Chennai,Immediately,3 Months,"15,000-20,000 /month",30 Aug' 22
340,Operations,Zepper,Mumbai,Immediately,6 Months,"7,000 /month",30 Aug' 22
341,Law/Legal,Sunil Jain & Co. LLP,Delhi,Immediately,6 Months,"9,000 /month",30 Aug' 22
342,Flutter Development,Purple Tutor,Work From Home,Immediately,3 Months,"10,000 /month",30 Aug' 22
343,Telecalling (Loan),Satyaom Insurance Brokers Private Limited,Noida,Immediately,3 Months,"15,000 /month",30 Aug' 22
344,Human Resources (HR),Made Easy,Delhi,Immediately,6 Months,"10,000-18,000 /month",30 Aug' 22
345,Business Development (Sales),Pulse Events & Weddings,Faridabad,Immediately,6 Months,"7,000 /month +  Incentives",30 Aug' 22
346,Online Teaching (Spoken English),Engtalki,Work From Home,Immediately,3 Months,"3,000 /month",30 Aug' 22
347,Content Writing,Sell Your Gadget,Work From Home,Immediately,3 Months,"3,000 /month",30 Aug' 22
348,Field Sales,DiLytics,Hyderabad,Immediately,2 Months,"10,000 /month",30 Aug' 22
349,Social Media Marketing,TAS World,Delhi,Immediately,4 Months,"10,000 /month",30 Aug' 22
350,Content Writing,Qodeit,Work From Home,Immediately,2 Months,"2,000 /month",30 Aug' 22
351,Social Media Marketing,Navars Edutech Private Limited,Hyderabad,Immediately,3 Months,"5,000-10,000 /month",30 Aug' 22
352,Internet Of Things (IoT),Techvolt Software Private Limited,Coimbatore,Immediately,1 Month,"2,000 /month",30 Aug' 22
353,Web Development,Quadevelopers,Work From Home,Immediately,2 Months,"1,000 /month",30 Aug' 22
354,Graphic Design,Red Fire Communications,Work From Home,Immediately,6 Months,"12,000 /month",30 Aug' 22
355,Social Media Marketing,I-Help Foundation Goa,Chennai,Immediately,2 Months,"8,000 /month +  Incentives",30 Aug' 22
356,Engineering Research & Development,Air Unicorn,Ahmedabad,Immediately,3 Months,"10,000 /month",30 Aug' 22
357,Operations,Indiana Maritime,Navi Mumbai,Immediately,6 Months,"20,000 /month",30 Aug' 22
358,Android Development,ZestIOT Technologies Private Limited,Hyderabad,Immediately,6 Months,"10,000 /month",30 Aug' 22
359,Creatives & Production,Ipix Movies,Mumbai,Immediately,3 Months,"10,000 /month",30 Aug' 22
360,Business Development (Sales),Vagmine Education LLP,Delhi,Immediately,2 Months,"8,000 /month",30 Aug' 22
361,Flutter App Development,MyMegaminds,Work From Home,Immediately,6 Months,"16,000 /month",30 Aug' 22
362,Content Writing,Infolead,Work From Home,Immediately,6 Months,"1,000 /month +  Incentives",30 Aug' 22
363,Digital Marketing,Visage Beauty & Health Care Private Limited,Noida,Immediately,6 Months,"15,000 /month",30 Aug' 22
364,Business Development (Sales),CS Foodie Zone Private Limited (Chocomans),Madambakkam,Immediately,3 Months,"8,000-15,000 /month",30 Aug' 22
365,Marketing,Infolead,Pune,Immediately,6 Months,"8,000 /month +  Incentives",30 Aug' 22
366,Business Development (Sales),Meriapp Technologies Private Limited,Jaipur,Immediately,3 Months,"12,000-15,000 /month",30 Aug' 22
367,Content Writing,Harsh Chaurasia,Work From Home,Immediately,2 Months,"3,000 /month",30 Aug' 22
368,Business Development (Sales),Greenon Energy Services,Faridabad,Immediately,2 Months,"6,000 /month",30 Aug' 22
369,Operations,Meraki,Lucknow,Immediately,2 Months,"10,000 /month",30 Aug' 22
370,Social Media Marketing,Urban NXT,Mumbai,Immediately,3 Months,"3,000 /month +  Incentives",30 Aug' 22
371,Business Development (Sales),Urban NXT,Mumbai,Immediately,3 Months,"5,000 /month +  Incentives",30 Aug' 22
372,Business Development (Sales),Policy Vibe,Work From Home,Immediately,2 Months,"2,000 /month",30 Aug' 22
373,Social Media Marketing,Travelounce,Delhi,Immediately,3 Months,"5,000 /month",30 Aug' 22
374,Content Writing,FINT,Work From Home,Immediately,3 Months,"3,000-4,000 /month",30 Aug' 22
375,Operations,Flipspaces,Mumbai,Immediately,3 Months,"10,000 /month",30 Aug' 22
376,PCB Testing,ThingsCode Systems,Chennai,Immediately,3 Months,"10,000 /month",30 Aug' 22
377,Online Marketing,Maha Vidhya Sewa Samiti,Work From Home,Immediately,2 Weeks,"4,000 /week +  Incentives",30 Aug' 22
378,Web Development,CoinMint,Bangalore,Immediately,2 Months,"50,000 /month +  Incentives",30 Aug' 22
379,Marketing,Hopping Tomato,Work From Home,Immediately,6 Months,"15,000 /month",30 Aug' 22
380,Social Media Marketing,TrainerGoesOnline,Work From Home,Immediately,2 Months,"5,000-7,000 /month",30 Aug' 22
381,Business Development (Sales),Computronics Systems India Private Limited,Indore,Immediately,6 Months,"8,000 /month +  Incentives",30 Aug' 22
382,Marketing,PANTech Digital,Work From Home,Immediately,3 Months,"5,000 /month",30 Aug' 22
383,Business Development (Sales),Platform Integration Software Technologies LLP,Amritsar,Immediately,2 Months,"10,000 /month +  Incentives",30 Aug' 22
384,Business Development (Sales),FAB HR,Indore,Immediately,6 Months,"8,000 /month +  Incentives",30 Aug' 22
385,Telecalling,Export Import & Ecommerce Business Training Institute,Bhopal,Immediately,3 Months,"3,000-7,000 /month",30 Aug' 22
386,Audit Assistance,Ravi Tanna & Associates,Hyderabad,Immediately,6 Months,"5,000 /month",30 Aug' 22
387,Social Media Marketing,Bayslope Business Solutions Private Limited,Gurgaon,Immediately,3 Months,"6,000 /month",30 Aug' 22
388,Graphic Design,Satyaom Insurance Brokers Private Limited,Noida,Immediately,3 Months,"15,000 /month",30 Aug' 22
389,Marketing,Onlymydeal,Work From Home,Immediately,3 Months,"6,000-15,000 /month",30 Aug' 22
390,Marketing,Global Professionals,Delhi,Immediately,2 Months,"10,000 /month",30 Aug' 22
391,Content Writing,Travomania,Work From Home,Immediately,3 Months,"1,000 /month",30 Aug' 22
392,Architecture,KOD Architects,Bangalore,Immediately,6 Months,"3,000 /month",30 Aug' 22
393,Human Resources (HR),RipplesIndia,Ghaziabad,Immediately,6 Months,"8,000 /month",30 Aug' 22
394,Content Writing,Krsh Welfare Foundation,Work From Home,Immediately,1 Month,Unpaid,30 Aug' 22
395,Program Management,ElectricPe,Bangalore,Immediately,3 Months,"25,000 /month",30 Aug' 22
396,Digital Marketing,Logicon Motors,Pune,Immediately,3 Months,"6,000-8,000 /month",30 Aug' 22
397,Social Media Marketing,Let's Expresso,Work From Home,Immediately,3 Months,"4,000 /month",30 Aug' 22
398,Search Engine Optimization (SEO),InstaAstro,Noida,Immediately,3 Months,"10,000 /month",30 Aug' 22
399,Business Development (Sales),Hirect India,Bangalore,Immediately,2 Months,"8,000 /month",30 Aug' 22
400,Content Writing,Experiment Labs,Delhi,Immediately,4 Months,"10,000 /month",30 Aug' 22
401,Human Resources (HR),Trimplin Group,Kolkata,Immediately,3 Months,"5,000 /month",30 Aug' 22
402,Data Entry,Bayslope Business Solutions Private Limited,Gurgaon,Immediately,3 Months,"6,000 /month",30 Aug' 22
403,Graphic Design,Experiment Labs,Delhi,Immediately,6 Months,"8,000 /month",30 Aug' 22
404,Video Making/Editing,InstaAstro,Noida,Immediately,3 Months,"10,000 /month",30 Aug' 22
405,Digital Marketing,Trimplin Group,Kolkata,Immediately,3 Months,"5,000 /month",30 Aug' 22
406,Content Research,La Polo,Work From Home,Immediately,3 Months,"2,000 /month",30 Aug' 22
407,Business Development (Sales),Vikrant Logistics,Delhi,Immediately,3 Months,"10,000-20,000 /month",30 Aug' 22
408,Campus Ambassador,Equifolio Business Solutions (OPC) Private Limited,Karnal,Immediately,2 Months,Performance Based,30 Aug' 22
409,Graphic Design,InstaAstro,Noida,Immediately,3 Months,"10,000 /month",30 Aug' 22
410,Civil Engineering,KOD Architects,Bangalore,Immediately,6 Months,"5,000-7,000 /month",30 Aug' 22
411,Full Stack Development,Snap4Print Innovations Private Limited,Hyderabad,Immediately,3 Months,"2,000 /month",30 Aug' 22
412,Online Tutoring,Find Filo,Work From Home,Immediately,1 Week,"5,000 /month +  Incentives",30 Aug' 22
413,Business Development (Sales),GoPaani,Indore,Immediately,6 Months,"15,000 /month",30 Aug' 22
414,Graphic Design,Ineffable Communications,Gandhinagar,Immediately,1 Month,"5,000 /month +  Incentives",30 Aug' 22
415,Customer Care,Balj Services Private Limited,Mohali,Immediately,6 Months,"14,000-18,000 /month",30 Aug' 22
416,Digital Marketing,Dot Com Baba Network,Work From Home,Immediately,2 Months,"10,000 /month",30 Aug' 22
417,Data Analysis,Truely,Work From Home,Immediately,3 Months,"1,000 /month",30 Aug' 22
418,Business Development (Sales),MGOR,Delhi,Immediately,3 Months,"12,000 /month",30 Aug' 22
419,Social Media Marketing,Diksha Vohra,Pune,Immediately,6 Months,"15,000 /month",30 Aug' 22
420,Law/Legal,Unique Law,Work From Home,Immediately,2 Months,Unpaid,30 Aug' 22
421,Marketing,SAHAR RUBBER,Mumbai,Immediately,3 Months,"5,000 /month +  Incentives",30 Aug' 22
422,Content Creation,Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"5,000-15,000 /month",30 Aug' 22
423,Search Engine Optimization (SEO),La Polo,Work From Home,Immediately,4 Months,"2,000 /month",30 Aug' 22
